Year,Quarter,Module Code,Module Name
1,A,M503,Behavioural Competencies in Virtual Teams
1,A,M501,Innovation Management and Digital Transformation
1,A,M502,Project Management
1,B,M506,Research Methods and Scientific Work
1,B,M527,Cybersecurity and Digital Risk Management
1,B,M541,Data Management & Protection
1,C,M517,International Strategic Management
1,C,M511,"CSR, ESG and Ethics"
1,C,M521,Emotional Agility in International Business
1,D,M510,CEO Decision Making and Case Studies
1,D,,Cryptography
1,D,M543,Cyber Forensics
2,A,M513,Research Seminar
2,A,M599,Master Thesis
2,B,M599,Master Thesis
